time,in_temp,in_hum,out_temp,out_hum,AH_in,AH_out,dT,dRH,dAH
2026-03-10 01:48:23,13.05,53.79,13.6,53.87,6.116584448151093,6.337268093222348,-0.5499999999999989,-0.0799999999999983,-0.22068364507125526
2026-03-10 01:49:30,13.06,53.78,13.6,53.91,6.119232454109367,6.341973694182601,-0.5399999999999991,-0.12999999999999545,-0.22274124007323337
2026-03-10 01:50:29,13.08,53.79,13.62,53.83,6.1279480632105265,6.340369050248783,-0.5399999999999991,-0.03999999999999915,-0.2124209870382563
2026-03-10 01:51:38,13.06,53.8,13.58,53.91,6.121508107680996,6.334163908350389,-0.5199999999999996,-0.10999999999999943,-0.21265580066939282
2026-03-10 01:52:38,13.08,53.79,13.61,53.91,6.1279480632105265,6.345881726859587,-0.5299999999999994,-0.11999999999999744,-0.21793366364906053
2026-03-10 01:53:46,13.05,53.82,13.58,54.0,6.11999581705692,6.344738472471175,-0.5299999999999994,-0.17999999999999972,-0.22474265541425442
2026-03-10 01:54:46,13.06,53.78,13.61,54.01,6.119232454109367,6.357652978439739,-0.5499999999999989,-0.22999999999999687,-0.23842052433037164
2026-03-10 01:55:54,13.08,53.77,13.58,54.09,6.125669592095744,6.35531303659196,-0.5,-0.3200000000000003,-0.2296434444962161
2026-03-10 01:56:53,13.05,53.75,13.62,54.1,6.112035956276654,6.372171012789507,-0.5699999999999985,-0.3500000000000014,-0.26013505651285307
2026-03-10 01:58:02,13.06,53.81,13.57,54.11,6.122645934466812,6.353746709624719,-0.5099999999999998,-0.29999999999999716,-0.23110077515790728
2026-03-10 01:59:03,13.06,53.78,13.62,54.1,6.119232454109367,6.372171012789507,-0.5599999999999987,-0.3200000000000003,-0.2529385586801398
2026-03-10 02:00:16,13.06,53.8,13.57,54.11,6.121508107680996,6.353746709624719,-0.5099999999999998,-0.3100000000000023,-0.23223860194372303
2026-03-10 02:01:09,13.06,53.82,13.65,54.0,6.123783761252625,6.3721550697081515,-0.5899999999999999,-0.17999999999999972,-0.24837130845552657
2026-03-10 02:02:18,13.05,53.78,13.6,54.11,6.115447325182483,6.3655016989838735,-0.5499999999999989,-0.3299999999999983,-0.2500543738013903
2026-03-10 02:03:18,13.05,53.78,13.64,54.05,6.115447325182483,6.374128626632952,-0.5899999999999999,-0.269999999999996,-0.2586813014504692
2026-03-10 02:04:27,13.05,53.74,13.61,54.11,6.1108988333080445,6.369424230019889,-0.5599999999999987,-0.36999999999999744,-0.2585253967118444
2026-03-10 02:05:26,13.04,53.82,13.64,53.96,6.116209911712697,6.363514906440596,-0.6000000000000014,-0.14000000000000057,-0.2473049947278989
2026-03-10 02:06:34,13.06,53.81,13.6,54.0,6.122645934466812,6.352561296343175,-0.5399999999999991,-0.18999999999999773,-0.22991536187636274
2026-03-10 02:07:34,13.05,53.79,13.62,53.92,6.116584448151093,6.3509697044290245,-0.5699999999999985,-0.13000000000000256,-0.23438525627793183
2026-03-10 02:08:42,13.04,53.8,13.61,53.95,6.113937072652231,6.350590227491646,-0.5700000000000003,-0.15000000000000568,-0.2366531548394155
2026-03-10 02:09:42,13.04,53.83,13.62,53.83,6.1173463312429295,6.340369050248783,-0.5800000000000001,0.0,-0.22302271900585335
2026-03-10 02:10:50,13.05,53.78,13.6,53.88,6.115447325182483,6.338444493462412,-0.5499999999999989,-0.10000000000000142,-0.222997168279929
2026-03-10 02:11:54,13.05,53.81,13.61,53.82,6.1188586940883125,6.33528760043745,-0.5599999999999987,-0.00999999999999801,-0.21642890634913758
2026-03-10 02:13:00,13.05,53.81,13.62,53.79,6.1188586940883125,6.335657648390898,-0.5699999999999985,0.020000000000003126,-0.21679895430258522
2026-03-10 02:13:58,13.05,53.81,13.65,53.71,6.1188586940883125,6.337934236926386,-0.5999999999999996,0.10000000000000142,-0.2190755428380733
2026-03-10 02:15:06,13.06,53.8,13.6,53.82,6.121508107680996,6.331386092022032,-0.5399999999999991,-0.020000000000003126,-0.20987798434103588
2026-03-10 02:16:06,13.05,53.84,13.64,53.79,6.12227006299414,6.343466768299473,-0.5899999999999999,0.05000000000000426,-0.2211967053053332
2026-03-10 02:17:18,13.06,53.82,13.58,53.86,6.123783761252625,6.328289150505509,-0.5199999999999996,-0.03999999999999915,-0.2045053892528843
